,F-F,r
0,0.0,0.0
1,0.0,0.1
2,0.0,0.2
3,0.0,0.30000000000000004
4,0.0,0.4
5,0.0,0.5
6,0.0,0.6000000000000001
7,0.0,0.7000000000000001
8,9.705126331466571e-08,0.8
9,1.1486694443787085e-06,0.9
10,9.338006665675432e-06,1.0
11,5.639673235461438e-05,1.1
12,0.0002747243636572897,1.2000000000000002
13,0.0011214530177769786,1.3
14,0.0039058055263236843,1.4000000000000001
15,0.011751343982854358,1.5
16,0.03077524532679204,1.6
17,0.07060407547907516,1.7000000000000002
18,0.14278629522333933,1.8
19,0.2563092945852293,1.9000000000000001
20,0.41174496843994934,2.0
21,0.5977760739507759,2.1
22,0.7931934528266242,2.2
23,0.9736474421313048,2.3000000000000003
24,1.1192847952648863,2.4000000000000004
25,1.2197583560726943,2.5
26,1.2752461063518956,2.6
27,1.2937350185271823,2.7
28,1.2861587352734416,2.8000000000000003
29,1.2623550559698362,2.9000000000000004
30,1.229706335376009,3.0
31,1.1933118673702205,3.1
32,1.156139979161296,3.2
33,1.1195132345678431,3.3000000000000003
34,1.084138358285781,3.4000000000000004
35,1.0507133545966156,3.5
36,1.0199485161845074,3.6
37,0.9928653804756534,3.7
38,0.9711664392722568,3.8000000000000003
39,0.9565650677231282,3.9000000000000004
40,0.9494558377048251,4.0
41,0.9484773947746382,4.1000000000000005
42,0.9513363083279023,4.2
43,0.9558973113487022,4.3
44,0.9607738494248524,4.4
45,0.9654700910918788,4.5
46,0.9701680597484459,4.6000000000000005
47,0.9751471306553823,4.7
48,0.9802153142104949,4.800000000000001
49,0.9847733519099476,4.9
50,0.98841476831032,5.0
51,0.9912281340253529,5.1000000000000005
52,0.9934501087707135,5.2
53,0.9951083776082015,5.300000000000001
54,0.9961820431972912,5.4
55,0.9968506746970631,5.5
56,0.9973547638927285,5.6000000000000005
57,0.9977551787378396,5.7
58,0.9979446585770396,5.800000000000001
59,0.9978103686529737,5.9
60,0.9974236329542273,6.0
61,0.9970796532990921,6.1000000000000005
62,0.996968030710908,6.2
63,0.9967861226144539,6.300000000000001
64,0.9959550699014775,6.4
65,0.994336824578025,6.5
66,0.99249772435236,6.6000000000000005
67,0.9910674630926848,6.7
68,0.9900090923445957,6.800000000000001
69,0.9887660948043635,6.9
70,0.9870189974098044,7.0
71,0.9850788616394623,7.1000000000000005
72,0.9835980117516621,7.2
73,0.9830188782584892,7.300000000000001
74,0.9832389432834371,7.4
75,0.9837298397381293,7.5
76,0.9839596655721243,7.6000000000000005
77,0.9836878182832866,7.7
78,0.9829630771432925,7.800000000000001
79,0.9820788497271515,7.9
80,0.9816193195152405,8.0
81,0.9823205661582943,8.1
82,0.9846356084578375,8.200000000000001
83,0.9883940640315896,8.3
84,0.9929060780911643,8.4
85,0.9973620651324813,8.5
86,1.001138374131516,8.6
87,1.0038863647975125,8.700000000000001
88,1.0055336738314993,8.8
89,1.0062255841333332,8.9
90,1.0061664581943677,9.0
91,1.005472175493753,9.1
92,1.0041529128273605,9.200000000000001
93,1.0021523855072547,9.3
94,0.9993802855946751,9.4
95,0.995845147144447,9.5
96,0.991869741631924,9.600000000000001
97,0.9881233587880505,9.700000000000001
98,0.9853044101798645,9.8
99,0.9836979951374626,9.9
100,0.9830705679474674,10.0
